Datetime,Open,High,Low,Close,Volume,value
2017-08-10 09:00:00,1286.00,1286.00,1260.00,1261.00,5100,6473700
2017-08-10 16:30:00,1286.00,1286.00,1260.00,1261.00,5100,6473700
2017-08-09 09:00:00,1308.00,1308.00,1264.00,1286.00,7800,9941700
2017-08-09 16:30:00,1308.00,1308.00,1264.00,1286.00,7800,9941700
2017-08-08 09:00:00,1297.00,1297.00,1289.00,1289.00,500,647300
2017-08-08 16:30:00,1297.00,1297.00,1289.00,1289.00,500,647300
2017-08-07 09:00:00,1280.00,1290.00,1278.00,1278.00,7300,9356600
2017-08-07 16:30:00,1280.00,1290.00,1278.00,1278.00,7300,9356600
