日付 時刻,始値,高値,安値,終値,出来高,売買代金
2017-01-23 夜間,18735,18805,18590,18630,116,2170450
2017-01-23 日中,18800,18810,18670,18735,152,2847290
2017-01-20 夜間,18970,19080,18870,18925,320,6087430
2017-01-20 日中,18850,18975,18835,18975,69,1304250
2017-01-19 夜間,18925,18980,18805,18805,142,2685700
2017-01-19 日中,18825,18905,18785,18905,217,4093935
2017-01-18 夜間,18680,18750,18585,18750,87,1622890
2017-01-18 日中,18585,18730,18445,18680,178,3305740
2017-01-17 夜間,18555,18670,18475,18510,172,3191770
2017-01-17 日中,18865,18885,18555,18555,288,5395470
2017-01-16 夜間,18880,18925,18855,18870,69,1302740
2017-01-16 日中,19015,19130,18870,18875,164,3104795
2017-01-13 夜間,19095,19180,19025,19050,114,2177220
2017-01-13 日中,19005,19110,18965,19090,112,2134530
2017-01-12 夜間,18900,18965,18770,18965,145,2737125
2017-01-12 日中,19095,19095,18880,18940,221,4192985
2017-01-11 夜間,19140,19310,18950,19145,282,5403695
2017-01-11 日中,19165,19205,19140,19160,282,5406320
2017-01-10 夜間,19155,19220,19115,19160,292,5592655
2017-01-10 日中,19220,19290,19070,19100,619,11848205
2017-01-06 夜間,19210,19430,19210,19410,215,4162265
2017-01-06 日中,19195,19275,19135,19225,96,1845700
2017-01-05 夜間,19250,19385,19200,19245,357,6889695
2017-01-05 日中,19440,19440,19285,19315,878,16979245
2017-01-04 夜間,19425,19480,19350,19480,50,970270
2017-01-04 日中,19085,19445,19085,19440,199,3840550
